Unnamed: 0;Url;ImageUrl;ProductId;Title;CategoryTree;ProductDescriptionEN;GlobalCategoryEN
7887;https://www.ikea.com/us/en/p/storslinga-led-chandelier-8-armed-black-white-40488452/;https://www.ikea.com/us/en/images/products/storslinga-led-chandelier-8-armed-black-white__0982258_pe815591_s5.jpg?f=s;40488452;STORSLINGA LED chandelier, 8-armed;Lighting/Lamps & light fixtures/Ceiling lights/Pendants lights;Chandeliers with candles have been around for hundreds of years. This modern version’s 8 arms instead have small spheres with built-in LED lights. A statement piece that’s guaranteed to be an eye-catcher.;Lighting
1831;https://www.ikea.com/us/en/p/istad-resealable-bag-50485919/;https://www.ikea.com/us/en/images/products/istad-resealable-bag__0929966_pe790553_s5.jpg?f=s;50485919;ISTAD Resealable bag;Storage & organization/Storage containers/Food storage & organizing/Food containers;ISTAD bags can be resealed and used again and again. It keeps contents fresh, withstands freezing and can be filled with contents up to 122 °F – and it helps you keep your kitchen and home organized.;Storage & organization
3238;https://www.ikea.com/us/en/p/summera-drawer-insert-with-6-compartments-anthracite-20222458/;https://www.ikea.com/us/en/images/products/summera-drawer-insert-with-6-compartments-anthracite__0135809_pe292680_s5.jpg?f=s;20222458;SUMMERA Drawer insert with 6 compartments;Storage & organization/Storage containers/Cable management & accessories;A drawer insert not only makes it easier to organise small items, it also dampens noise and protects against scratches. SUMMERA is dimensioned for the GALANT series but can be cut to fit more drawer sizes.;Storage & organization
5599;https://www.ikea.com/us/en/p/tillreda-refrigerator-white-10343234/;https://www.ikea.com/us/en/images/products/tillreda-refrigerator-white__0755805_pe748616_s5.jpg?f=s;10343234;TILLREDA Refrigerator;Kitchen & appliances/Appliances/Refrigerators & freezers/Free-standing refrigerators;A small refrigerator for a small-sized kitchen. Also handy in the den, basement, guest house, dorm room, or wherever you may want quick access to a beverage or snack.;Kitchen & appliances
5528;https://www.ikea.com/us/en/p/tradfri-signal-repeater-30400407/;https://www.ikea.com/us/en/images/products/tradfri-signal-repeater__0594981_pe675910_s5.jpg?f=s;30400407;TRÅDFRI Signal repeater;Lighting/Smart lighting/Remote & smart light switches;Now it's easy for anyone to use smart products. TRÅDFRI signal repeater expands the signal from our smart products, so they work even if your home is really big or has thick walls.;Lighting
7023;https://www.ikea.com/us/en/p/utrusta-shelf-glass-80265609/;https://www.ikea.com/us/en/images/products/utrusta-shelf-glass__0268732_pe415284_s5.jpg?f=s;80265609;UTRUSTA Shelf;Kitchen & appliances/Kitchen drawer organization/Shelves & drawers;Add some sparkle to the kitchen with these glass shelves. For the best effect, use them with glass doors and cabinet lighting that spreads light over your finest porcelain – giving it a chance to shine.;Kitchen & appliances
5677;https://www.ikea.com/us/en/p/eneby-front-for-bluetooth-speaker-50513234/;https://www.ikea.com/us/en/images/products/eneby-front-for-bluetooth-speaker__1010761_pe828239_s5.jpg?f=s;50513234;ENEBY Front for bluetooth speaker;Home electronics/Speakers/Bluetooth speakers;Who you share your life and your home with is your choice. We at IKEA want to pay tribute to that freedom and support everyone's right to be themselves. This ENEBY rainbow panel is much more than just a front for Bluetooth speakers. It's a statement.;Home electronics
2704;https://www.ikea.com/us/en/p/uppland-cover-for-loveseat-totebo-light-beige-40485397/;https://www.ikea.com/us/en/images/products/uppland-cover-for-loveseat-totebo-light-beige__0818550_pe774481_s5.jpg?f=s;40485397;UPPLAND Cover for loveseat;Furniture/Sofas & sectionals/Sofa & armchairs covers/UPPLAND covers;A new cover is a great way to extend the life of your favorite sofa and revitalize your home – for a new season or a special occasion. You also make a sustainable choice by freshening up and reusing!;Furniture
3035;https://www.ikea.com/us/en/p/kryddpeppar-plant-stand-indoor-outdoor-green-20421962/;https://www.ikea.com/us/en/images/products/kryddpeppar-plant-stand-indoor-outdoor-green__0703924_pe724922_s5.jpg?f=s;20421962;KRYDDPEPPAR Plant stand;Furniture/Tables & desks/Accent tables/End tables & side tables;You can use KRYDDPEPPAR plant stand to lift your potted plants from the floor – or use it as a side table for your coffee cup. Just as suitable on the balcony or patio as in the living room.;Furniture
221;https://www.ikea.com/us/en/p/barndroem-duvet-cover-and-pillowcase-heart-pattern-white-pink-40504372/;https://www.ikea.com/us/en/images/products/barndroem-duvet-cover-and-pillowcase-heart-pattern-white-pink__0963404_pe808495_s5.jpg?f=s;40504372;BARNDRÖM Duvet cover and pillowcase;Beds & mattresses/Bedding/Bedlinen/Kids bed linen;Let your little loved one sleep surrounded by love. This duvet cover in durable cotton gets softer with every wash. And our cotton is sustainably sourced, so you can sleep well – with a clear conscience.;Beds & mattresses
7016;https://www.ikea.com/us/en/p/sunnersta-shelf-90443927/;https://www.ikea.com/us/en/images/products/sunnersta-shelf__0832812_pe777828_s5.jpg?f=s;90443927;SUNNERSTA Shelf;Kitchen & appliances/Kitchen systems/SUNNERSTA modular kitchen/Accessories for SUNNERSTA;When every little centimeter counts SUNNERSTA accessories come to the rescue with storage possibilities that keep things close at hand and your countertop free from clutter.;Kitchen & appliances
2622;https://www.ikea.com/us/en/p/patar-espresso-coffee-organic-utz-certified-100-arabica-beans-60324577/;https://www.ikea.com/us/en/images/products/patar-espresso-coffee-organic-utz-certified-100-arabica-beans__0466606_pe610543_s5.jpg?f=s;60324577;PÅTÅR Espresso coffee;IKEA food & restaurant/Beverages;A rich and intense dark coffee with notes of sweet fruits.;IKEA food & restaurant
182;https://www.ikea.com/us/en/p/barndroem-duvet-cover-and-pillowcase-forest-animal-pattern-multicolor-40504701/;https://www.ikea.com/us/en/images/products/barndroem-duvet-cover-and-pillowcase-forest-animal-pattern-multicolor__0963399_pe808490_s5.jpg?f=s;40504701;BARNDRÖM Duvet cover and pillowcase;Beds & mattresses/Bedding/Bedlinen/Kids bed linen;Found the foxes and rabbits in the forest? This super-soft duvet cover and pillowcase are woven in a cotton/viscose mix that creates an even sleeping temperature all night so your child wakes up rested.;Beds & mattresses
5577;https://www.ikea.com/us/en/p/koppla-1-port-usb-charger-white-90412285/;https://www.ikea.com/us/en/images/products/koppla-1-port-usb-charger-white__0616105_pe687662_s5.jpg?f=s;90412285;KOPPLA 1-port USB charger;Home electronics/Cords & chargers/Cables & accessories;This USB charger has a compact design and a fast charging function. Perfect to bring when you’re on the go. The KOPPLA series supports your electrical needs and gives you power where you need it.;Home electronics
2146;https://www.ikea.com/us/en/p/korken-bottle-with-stopper-clear-glass-40227983/;https://www.ikea.com/us/en/images/products/korken-bottle-with-stopper-clear-glass__0711275_pe728113_s5.jpg?f=s;40227983;KORKEN Bottle with stopper;Cookware & tableware/Drinkware/Pitchers & carafes;Tight-fitting stopper prevents leaks.;Cookware & tableware
834;https://www.ikea.com/us/en/p/storjorm-mirror-with-built-in-light-white-10250084/;https://www.ikea.com/us/en/images/products/storjorm-mirror-with-built-in-light-white__0637661_pe698451_s5.jpg?f=s;10250084;STORJORM Mirror with built-in light;Home Décor/Mirrors/Vanity mirrors;This mirror comes equipped with integrated LED lighting that spreads a soft, diffused light in the bathroom that is easy to wake up to, giving you a pleasant start in the morning.;Home Décor
5244;https://www.ikea.com/us/en/p/snajdare-wall-clock-birch-plywood-90358783/;https://www.ikea.com/us/en/images/products/snajdare-wall-clock-birch-plywood__0638621_pe699036_s5.jpg?f=s;90358783;SNAJDARE Wall clock;Home Décor/Clocks/Wall & table clocks;Fitted with a quartz movement, it is accurate at keeping time.;Home Décor
3121;https://www.ikea.com/us/en/p/hemnes-coffee-table-black-brown-10176292/;https://www.ikea.com/us/en/images/products/hemnes-coffee-table-black-brown__0735556_pe740002_s5.jpg?f=s;10176292;HEMNES Coffee table;Furniture/Tables & desks/Accent tables/Coffee tables;Natural beauty in solid pine. A durable and renewable material that maintains its genuine character with each passing year. Looks great together with other furniture in the HEMNES series.;Furniture
7823;https://www.ikea.com/us/en/p/stockholm-pendant-lamp-white-90216133/;https://www.ikea.com/us/en/images/products/stockholm-pendant-lamp-white__0607397_pe682948_s5.jpg?f=s;90216133;STOCKHOLM Pendant lamp;Lighting/Lamps & light fixtures/Ceiling lights/Pendants lights;You can either hang the lamp close to the ceiling in your living room or low over a coffee table.;Lighting
133;https://www.ikea.com/us/en/p/laett-childrens-table-and-2-chairs-white-pine-50178411/;https://www.ikea.com/us/en/images/products/laett-childrens-table-and-2-chairs-white-pine__0735856_pe740220_s5.jpg?f=s;50178411;LÄTT Children's table and 2 chairs;Furniture/Tables & desks/Kids tables;With this table and chairs you can easily create a durable arts and crafts corner for your child. The frames are made of solid pine and have a white foiled surface on top that is easy to wipe off.;Furniture
1754;https://www.ikea.com/us/en/p/laemplig-trivet-stainless-steel-30111087/;https://www.ikea.com/us/en/images/products/laemplig-trivet-stainless-steel__0711759_pe728451_s5.jpg?f=s;30111087;LÄMPLIG Trivet;Cookware & tableware/Cookware & kitchenware/Cooking accessories;Plastic feet prevent scratching and make the steel non heat-conducting.;Cookware & tableware
2247;https://www.ikea.com/us/en/p/mattlig-milk-frothing-jug-stainless-steel-50149843/;https://www.ikea.com/us/en/images/products/mattlig-milk-frothing-jug-stainless-steel__0713349_pe729455_s5.jpg?f=s;50149843;MÅTTLIG Milk-frothing jug;Cookware & tableware/Coffee & tea/Coffee makers & accessories;Always keep a milk-frothing jug close by when it's time for coffee deluxe. In simple and easy-to-clean MÅTTLIG, you can whisk your milk as much as needed without it splashing over the whole countertop.;Cookware & tableware
421;https://www.ikea.com/us/en/p/smastad-bench-white-80433542/;https://www.ikea.com/us/en/images/products/smastad-bench-white__0848800_pe779147_s5.jpg?f=s;80433542;SMÅSTAD Bench;Storage & organization/Storage solution systems/SMÅSTAD system/Frames for SMÅSTAD;Something for children of all ages, there is room on the bench to play or cuddle up with a book.;Storage & organization
7118;https://www.ikea.com/us/en/p/stensund-toekick-beige-30453330/;https://www.ikea.com/us/en/images/products/stensund-toekick-beige__0974899_pe812574_s5.jpg?f=s;30453330;STENSUND Toekick;Kitchen & appliances/Kitchen systems/SEKTION kitchen/SEKTION kitchen cabinets;STENSUND fronts in beige offers a touch of country living with framed fronts and grooved panels that create a warm, crafted look. The lacquered surface resists stain and moisture and is easy to wipe clean.;Kitchen & appliances
6867;https://www.ikea.com/us/en/p/tasjoen-slippers-gray-10446576/;https://www.ikea.com/us/en/images/products/tasjoen-slippers-gray__0668754_pe714677_s5.jpg?f=s;10446576;TÅSJÖN Slippers;Bathroom/Bathroom textiles/Bathrobes & slippers;Slip into something more comfortable! TÅSJÖN slippers in gray are easy to slide on and off, and the rugged soles have a good grip. Perfect indoors or to quickly run out and get the mail.;Bathroom
5164;https://www.ikea.com/us/en/p/ubbetorp-frame-set-of-2-silver-color-70427754/;https://www.ikea.com/us/en/images/products/ubbetorp-frame-set-of-2-silver-color__0661081_pe711326_s5.jpg?f=s;70427754;UBBETORP Frame, set of 2;Home Décor/Wall décor/Picture & photo frames;This frame is ideal to use with ALFTA adhesive hook. With the hook you can easily hang the frame without nails or screws and decorate your walls with pictures.;Home Décor
5874;https://www.ikea.com/us/en/p/riktig-curtain-hook-40212203/;https://www.ikea.com/us/en/images/products/riktig-curtain-hook__0603458_pe680809_s5.jpg?f=s;40212203;RIKTIG Curtain hook;Home Textiles/Window treatments/Curtain rods & rails/Curtain rods;These curtain hooks are intended for curtains with gathering tape and make it simple to hang your curtains nicely.;Home Textiles
3725;https://www.ikea.com/us/en/p/alex-drawer-unit-on-casters-white-80485423/;https://www.ikea.com/us/en/images/products/alex-drawer-unit-on-casters-white__0977785_pe813769_s5.jpg?f=s;80485423;ALEX Drawer unit on casters;Storage & organization/Dressers & storage drawers/Drawer units/Drawer units for home;A clean look that’s easy to like and mix with other styles, either supporting a desk or standing alone. The back is finished so you can place it in the middle of the room – all sides are just as beautiful.;Storage & organization
1234;https://www.ikea.com/us/en/p/holmsbu-pillowtop-mattress-medium-firm-white-60307441/;https://www.ikea.com/us/en/images/products/holmsbu-pillowtop-mattress-medium-firm-white__0387433_pe561471_s5.jpg?f=s;60307441;HOLMSBU Pillowtop mattress;Beds & mattresses/Mattresses/Spring mattresses;The gel-infused memory foam cradles your body and keeps a low temperature. Combined with two layers of pocket springs and one layer of mini pocket springs, you are in for a cool and blissful sleep.;Beds & mattresses
9901;https://www.ikea.com/us/en/p/bergsbo-door-white-30160407/;https://www.ikea.com/us/en/images/products/bergsbo-door-white__0095338_pe233886_s5.jpg?f=s;30160407;BERGSBO Door;Storage & organization/Storage solution systems/PAX system/PAX doors without hinges;A classic hinged door with a modern, square design in wood-effect surface is just as warm and inviting as real wood. Combine with a PAX frame in the same finish for a coordinated look.;Storage & organization
3304;https://www.ikea.com/us/en/p/ingolf-chair-white-hallarp-beige-30473069/;https://www.ikea.com/us/en/images/products/ingolf-chair-white-hallarp-beige__0926877_pe789566_s5.jpg?f=s;30473069;INGOLF Chair;Furniture/Chairs/Dining chairs/Dining chairs;This traditional style wooden cross back chair adds a dash of classic charm, whether in your eat-in kitchen, living room, or as an accent chair in the bedroom. Padded seating that allows for long, comfy meals and chit-chat.;Furniture
631;https://www.ikea.com/us/en/p/vallasan-bath-towel-light-gray-brown-80502125/;https://www.ikea.com/us/en/images/products/vallasan-bath-towel-light-gray-brown__0980866_pe815199_s5.jpg?f=s;80502125;VALLASÅN Bath towel;Bathroom/Bathroom textiles/Towels/Bath towels;Made of cotton/viscose, this light grey/brown, waffle-textured towel is absorbent and quick drying. The fringe edging adds a touch of playfulness. A perfect match in style and color with VINARN towels.;Bathroom
2529;https://www.ikea.com/us/en/p/loerdagsgodis-jelly-candy-cola-flavor-60480558/;https://www.ikea.com/us/en/images/products/loerdagsgodis-jelly-candy-cola-flavor__0934162_pe792349_s5.jpg?f=s;60480558;LÖRDAGSGODIS Jelly candy;IKEA food & restaurant/Snacks & sweets;LÖRDAGSGODIS (Saturday sweets) is the sweet peak of the week, when it’s ok to treat yourself to tasty things. Especially when it’s gelatin-free and made with natural flavors and colors.;IKEA food & restaurant
2297;https://www.ikea.com/us/en/p/klyfta-bread-basket-bamboo-50455696/;https://www.ikea.com/us/en/images/products/klyfta-bread-basket-bamboo__0748418_pe744992_s5.jpg?f=s;50455696;KLYFTA Bread basket;Cookware & tableware/Serveware/Serving dishes;Made with bamboo, a living material that makes each bread basket unique. The size and shape of the basket gives plenty of space for breads and bread rolls. A tasteful way to invite nature into your home.;Cookware & tableware
489;https://www.ikea.com/us/en/p/upptag-rug-boats-pattern-40440323/;https://www.ikea.com/us/en/images/products/upptag-rug-boats-pattern__0937433_pe793725_s5.jpg?f=s;40440323;UPPTÅG Rug;Baby & kids/Baby/Baby textiles/Nursery rugs;Maybe something for those who dream of an adventure on the seven seas? This soft rug is nice to walk on for both small and big feet – and is made of durable and stain-resistant synthetic fiber.;Baby & kids
6893;https://www.ikea.com/us/en/p/knoxhult-base-cabinet-with-doors-and-drawer-white-00372260/;https://www.ikea.com/us/en/images/products/knoxhult-base-cabinet-with-doors-and-drawer-white__0630750_pe694878_s5.jpg?f=s;372260;KNOXHULT Base cabinet with doors and drawer;Kitchen & appliances/Kitchen systems/KNOXHULT modular kitchen/KNOXHULT all parts;KNOXHULT modular kitchen makes it easier to plan, design and survive the kitchen jungle. Combine the modules, add knobs or handles, and finish with functions like organizers, waste management and lighting.;Kitchen & appliances
4895;https://www.ikea.com/us/en/p/lindrande-decoration-circle-black-90432448/;https://www.ikea.com/us/en/images/products/lindrande-decoration-circle-black__0665690_pe713137_s5.jpg?f=s;90432448;LINDRANDE Decoration;Home Décor/Decorative accessories;Nice as a table decoration, for example.;Home Décor
3848;https://www.ikea.com/us/en/p/lixhult-cabinet-metal-blue-00476516/;https://www.ikea.com/us/en/images/products/lixhult-cabinet-metal-blue__0914423_pe784008_s5.jpg?f=s;476516;LIXHULT Cabinet;Storage & organization/Display & storage cabinets/Dining room cabinets & cupboards;It’s edginess in a box. Create an asymmetric or unexpected storage solution and fill it with your things. Stack and combine as you please. Fits in any space and has infinite possibilities.;Storage & organization
654;https://www.ikea.com/us/en/p/malselva-bath-towel-blue-10492040/;https://www.ikea.com/us/en/images/products/malselva-bath-towel-blue__0933730_pe792193_s5.jpg?f=s;10492040;MÅLSELVA Bath towel;Bathroom/Bathroom textiles/Towels/Bath towels;Start your day in a happy polka-dot way! The terry-woven dotted pattern is made with pure cotton from more sustainable sources. A fresh addition to any bathroom.;Bathroom
5305;https://www.ikea.com/us/en/p/skadis-hook-gray-70321639/;https://www.ikea.com/us/en/images/products/skadis-hook-gray__0710519_pe727614_s5.jpg?f=s;70321639;SKÅDIS Hook;Home Décor/Noticeboards;Create the best storage for your needs by adding SKÅDIS accessories to your SKÅDIS pegboard. A perfect way to get organized and keep things close at hand in the bathroom, entrance, office or anywhere.;Home Décor
6905;https://www.ikea.com/us/en/p/barkaboda-countertop-walnut-veneer-90331473/;https://www.ikea.com/us/en/images/products/barkaboda-countertop-walnut-veneer__0444083_pe594696_s5.jpg?f=s;90331473;BARKABODA Countertop;Kitchen & appliances/Kitchen countertops/Butcher block countertops;This wood countertop combines the best of solid wood and veneer. With efficient use of natural resources, it offers a unique pattern and a durable surface that can be sanded. Available to take home today.;Kitchen & appliances
3278;https://www.ikea.com/us/en/p/nilsove-armchair-rattan-white-50434312/;https://www.ikea.com/us/en/images/products/nilsove-armchair-rattan-white__0672929_pe716967_s5.jpg?f=s;50434312;NILSOVE Armchair;Furniture/Chairs/Dining chairs/Dining chairs;Hand-woven rattan and sturdy bamboo make each armchair unique and stable. The armrest helps you sit comfortably close to the table – ideal for long dinners. A great way to invite nature into your home.;Furniture
3356;https://www.ikea.com/us/en/p/skogsta-chair-acacia-90305426/;https://www.ikea.com/us/en/images/products/skogsta-chair-acacia__0365474_pe548263_s5.jpg?f=s;90305426;SKOGSTA Chair;Furniture/Chairs/Dining chairs/Dining chairs;Solid wood is a durable natural material which can be sanded and surface treated when required.;Furniture
5254;https://www.ikea.com/us/en/p/bondis-wall-clock-black-70152467/;https://www.ikea.com/us/en/images/products/bondis-wall-clock-black__0638616_pe699035_s5.jpg?f=s;70152467;BONDIS Wall clock;Home Décor/Clocks/Wall & table clocks;A clock without the tick-tock. The mechanism has a silent movement so you can relax and sleep without being disturbed by the sound.;Home Décor
7981;https://www.ikea.com/us/en/p/hemma-cord-set-black-90386597/;https://www.ikea.com/us/en/images/products/hemma-cord-set-black__0610596_pe685041_s5.jpg?f=s;90386597;HEMMA Cord set;Lighting/Lamps & light fixtures/Shades, bases & cords/Lamp bases & cords;You can easily create your own personal pendant lamp by combining the cord set with your choice of lampshade.;Lighting
2761;https://www.ikea.com/us/en/p/gistad-recliner-idekulla-dark-red-60466388/;https://www.ikea.com/us/en/images/products/gistad-recliner-idekulla-dark-red__0789931_pe764213_s5.jpg?f=s;60466388;GISTAD Recliner;Furniture/Armchairs & chaises/Reclining chairs;Pamper yourself with a moment of comfy me-time. With this neat recliner you can choose if you want to sit upright, lean back or lie down for a quick nap – and put two together for some we-time!;Furniture
7915;https://www.ikea.com/us/en/p/ravaror-clamp-table-lamp-stainless-steel-50454545/;https://www.ikea.com/us/en/images/products/ravaror-clamp-table-lamp-stainless-steel__0835200_pe778338_s5.jpg?f=s;50454545;RÅVAROR Clamp table lamp;Lighting/Lamps & light fixtures/Table lamps;A regular table lamp at first glance, but this has several hidden and smart features. You can adjust the height and clamp the table lamp horizontally or vertically to direct light where you need it.;Lighting
2996;https://www.ikea.com/us/en/p/tradfri-driver-for-wireless-control-gray-10356189/;https://www.ikea.com/us/en/images/products/tradfri-driver-for-wireless-control-gray__0587550_pe672682_s5.jpg?f=s;10356189;TRÅDFRI Driver for wireless control;Lighting/Integrated lighting/Bookcase lighting;Now it's really easy for anyone to use smart lighting. This driver allows you to connect your integrated lighting from IKEA – turn on, turn off and dim so you always have the right light and mood at home.;Lighting
5814;https://www.ikea.com/us/en/p/ritva-curtains-with-tie-backs-1-pair-white-40111992/;https://www.ikea.com/us/en/images/products/ritva-curtains-with-tie-backs-1-pair-white__74227_pe194751_s5.jpg?f=s;40111992;RITVA Curtains with tie-backs, 1 pair;Home Textiles/Window treatments/Curtains & drapes/Light filtering curtains;The curtains lower the general light level and provide privacy by preventing people outside from seeing directly into the room.;Home Textiles
101;https://www.ikea.com/us/en/p/jaettelik-towel-with-hood-dinosaur-multicolor-90479997/;https://www.ikea.com/us/en/images/products/jaettelik-towel-with-hood-dinosaur-multicolor__0806346_pe769912_s5.jpg?f=s;90479997;JÄTTELIK Towel with hood;Baby & kids/Baby/Baby textiles/Baby towels & washcloths;After a bath it’s nice to crawl into a soft towel with a hood. Here your baby rests snug with tough dinosaurs around them from head to toe – and with soft, sustainably grown cotton against the skin.;Baby & kids
4105;https://www.ikea.com/us/en/p/torholmen-chaise-gray-20312326/;https://www.ikea.com/us/en/images/products/torholmen-chaise-gray__0729514_pe737033_s5.jpg?f=s;20312326;TORHOLMEN Chaise;Furniture/Patio furniture/Outdoor chaises & hammocks;With a lightweight TORHOLMEN recliner you can easily follow the suns movement. The headrest can be adjusted to 4 different positions and the durable aluminum mesh will keep fresh over many years.;Furniture
1176;https://www.ikea.com/us/en/p/lycksele-loevas-mattress-20102074/;https://www.ikea.com/us/en/images/products/lycksele-loevas-mattress__0729217_pe736790_s5.jpg?f=s;20102074;LYCKSELE LÖVÅS Mattress;Furniture/Beds/Sleeper sofas/Mattress choices;A simple foam mattress that always does its job. Whether you sleep on it every night or just now and then, it provides you – or your guests – with a comfy firm sleeping comfort.;Furniture
3185;https://www.ikea.com/us/en/p/ingatorp-extendable-table-black-90222407/;https://www.ikea.com/us/en/images/products/ingatorp-extendable-table-black__0737090_pe740880_s5.jpg?f=s;90222407;INGATORP Extendable table;Furniture/Tables & desks/Dining tables/Up to 6 seats;It’s easy to extend when guests arrive – the legs of the table stay in the corner so everyone sits comfortably. A traditional look with details like turned legs give it that little extra.;Furniture
10635;https://www.ikea.com/us/en/p/knoelig-bag-small-blue-10478242/;https://www.ikea.com/us/en/images/products/knoelig-bag-small-blue__0665713_pe713157_s5.jpg?f=s;10478242;KNÖLIG Bag;Storage & organization/Bags/Travel accessories;Tired of looking for keys, coins and other small things in your backpack? Then you’ll probably like this small bag with a keychain and a zipper that keeps the contents from falling out.;Storage & organization
1712;https://www.ikea.com/us/en/p/nordli-headboard-white-90372760/;https://www.ikea.com/us/en/images/products/nordli-headboard-white__0595945_pe677836_s5.jpg?f=s;90372760;NORDLI Headboard;Furniture/Beds/Headboards;The flexible headboard with built-in nightstands can be positioned at any height for your preferred look and convenience. A smart combo with under-bed storage – nothing gets in the way of the drawers. (204);Furniture
1235;https://www.ikea.com/us/en/p/hjellestad-pillowtop-mattress-medium-firm-white-00307439/;https://www.ikea.com/us/en/images/products/hjellestad-pillowtop-mattress-medium-firm-white__0387418_pe561470_s5.jpg?f=s;307439;HJELLESTAD Pillowtop mattress;Beds & mattresses/Mattresses/Spring mattresses;Dreamy thick memory foam in the integrated mattress topper gives you a snug surface that molds to your body. Underneath are two layers of pocket springs that work wonders on your sleeping comfort.;Beds & mattresses
8102;https://www.ikea.com/us/en/p/akterport-led-string-light-with-40-lights-battery-operated-mini-pompon-white-gray-30504848/;https://www.ikea.com/us/en/images/products/akterport-led-string-light-with-40-lights-battery-operated-mini-pompon-white-gray__0957901_pe805147_s5.jpg?f=s;30504848;AKTERPORT LED string light with 40 lights;Lighting/Decorative lighting/Decorative indoor lighting;Gives a nice decorative light.;Lighting
